year,edition,edition_id,city,country_flag_url,country_noc,start_date,end_date,competition_date,is_held
2032,2032 Summer Olympics,372,Brisbane,https://olympedia-flags.s3.eu-central-1.amazonaws.com/AUS.png,AUS,,,—,
2000,2000 Summer Olympics,25,Sydney,https://olympedia-flags.s3.eu-central-1.amazonaws.com/AUS.png,AUS,2000-09-15,2000-10-01,13 September –  1 October,
1956,1956 Summer Olympics,14,Melbourne,https://olympedia-flags.s3.eu-central-1.amazonaws.com/AUS.png,AUS,1956-11-22,1956-12-08,22 November –  8 December,
1976,1976 Winter Olympics,40,Innsbruck,https://olympedia-flags.s3.eu-central-1.amazonaws.com/AUT.png,AUT,1976-02-04,1976-02-15,3 – 15 February,
1964,1964 Winter Olympics,37,Innsbruck,https://olympedia-flags.s3.eu-central-1.amazonaws.com/AUT.png,AUT,1964-01-29,1964-02-09,27 January –  9 February,
1920,1920 Summer Olympics,7,Antwerpen,https://olympedia-flags.s3.eu-central-1.amazonaws.com/BEL.png,BEL,1920-08-14,1920-08-30,23 April – 12 September,
2016,2016 Summer Olympics,59,Rio de Janeiro,https://olympedia-flags.s3.eu-central-1.amazonaws.com/BRA.png,BRA,2016-08-05,2016-08-21,3 – 21 August,
1976,1976 Summer Olympics,19,Montréal,https://olympedia-flags.s3.eu-central-1.amazonaws.com/CAN.png,CAN,1976-07-17,1976-08-01,18 July –  1 August,
2010,2010 Winter Olympics,57,Vancouver,https://olympedia-flags.s3.eu-central-1.amazonaws.com/CAN.png,CAN,2010-02-12,2010-02-28,12 – 28 February,
1988,1988 Winter Olympics,43,Calgary,https://olympedia-flags.s3.eu-central-1.amazonaws.com/CAN.png,CAN,1988-02-13,1988-02-28,13 – 28 February,
2008,2008 Summer Olympics,53,Beijing,https://olympedia-flags.s3.eu-central-1.amazonaws.com/CHN.png,CHN,2008-08-08,2008-08-24,6 – 24 August,
2022,2022 Winter Olympics,62,Beijing,https://olympedia-flags.s3.eu-central-1.amazonaws.com/CHN.png,CHN,2022-02-04,2022-02-20,2 – 20 February,
1992,1992 Summer Olympics,23,Barcelona,https://olympedia-flags.s3.eu-central-1.amazonaws.com/ESP.png,ESP,1992-07-25,1992-08-09,24 July –  9 August,
1952,1952 Summer Olympics,13,Helsinki,https://olympedia-flags.s3.eu-central-1.amazonaws.com/FIN.png,FIN,1952-07-19,1952-08-03,14 July –  3 August,
1992,1992 Winter Olympics,44,Albertville,https://olympedia-flags.s3.eu-central-1.amazonaws.com/FRA.png,FRA,1992-02-08,1992-02-23,8 – 23 February,
1924,1924 Summer Olympics,8,Paris,https://olympedia-flags.s3.eu-central-1.amazonaws.com/FRA.png,FRA,1924-07-05,1924-07-27, 4 May – 27 July,
